<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
MTLRP,D,20120302,000000,235.9700000,238.9400000,235.1200000,238.4300000,51240
MTLRP,D,20120305,000000,239.9000000,239.9000000,236.1500000,238.9000000,49760
MTLRP,D,20120306,000000,238.4900000,238.4900000,224.1500000,225.0000000,141190
MTLRP,D,20120307,000000,224.0100000,226.0000000,220.0100000,225.0200000,150460
MTLRP,D,20120311,000000,228.0000000,231.9700000,228.0000000,231.0000000,55040
MTLRP,D,20120312,000000,229.0100000,231.4800000,226.8000000,227.0000000,26350
MTLRP,D,20120313,000000,228.9400000,230.0000000,224.5000000,226.0000000,41910
MTLRP,D,20120314,000000,228.5200000,228.7700000,225.6000000,227.0000000,48070
MTLRP,D,20120315,000000,225.0200000,231.0000000,225.0200000,230.0000000,68730
MTLRP,D,20120316,000000,230.6900000,235.0000000,229.1000000,234.8700000,99450
MTLRP,D,20120319,000000,234.9400000,236.9400000,230.8000000,232.3000000,34720
MTLRP,D,20120320,000000,231.7600000,233.2500000,227.0500000,227.5000000,28050
MTLRP,D,20120321,000000,229.4700000,229.9000000,226.0200000,226.9000000,43830
MTLRP,D,20120322,000000,226.8900000,229.0000000,220.0000000,220.0000000,145020
MTLRP,D,20120323,000000,220.5000000,224.0000000,215.0100000,217.0000000,130390
MTLRP,D,20120326,000000,220.4900000,220.4900000,215.1100000,216.1500000,59320
MTLRP,D,20120327,000000,217.9000000,218.5000000,216.0000000,217.5000000,29730
MTLRP,D,20120328,000000,216.8000000,216.9900000,210.3100000,211.1100000,46050
MTLRP,D,20120329,000000,211.0400000,217.0000000,203.9900000,204.9000000,69790
MTLRP,D,20120330,000000,206.2200000,208.9900000,202.0100000,205.0000000,58540
MTLRP,D,20120402,000000,205.9500000,207.4800000,203.5000000,204.2500000,32430
MTLRP,D,20120403,000000,207.4900000,210.0000000,205.8000000,208.4900000,80910
MTLRP,D,20120404,000000,206.4000000,207.5000000,201.9100000,202.8000000,56090
MTLRP,D,20120405,000000,204.0000000,204.9900000,202.5500000,203.0000000,86570
MTLRP,D,20120406,000000,202.9000000,203.8300000,202.2900000,202.3000000,33760
MTLRP,D,20120409,000000,202.9000000,204.9900000,202.1700000,203.8900000,74000
MTLRP,D,20120410,000000,204.0000000,205.0000000,202.1300000,202.5900000,96180
MTLRP,D,20120411,000000,202.1400000,203.0000000,200.5100000,202.0000000,92560
MTLRP,D,20120412,000000,202.0300000,202.2500000,200.0000000,201.0000000,80850
MTLRP,D,20120413,000000,201.9900000,203.6800000,201.0000000,201.4000000,55240
MTLRP,D,20120416,000000,200.0600000,203.9500000,200.0600000,202.7000000,52290
MTLRP,D,20120417,000000,202.1600000,202.2500000,199.1100000,200.1000000,125510
MTLRP,D,20120418,000000,199.5500000,200.0000000,196.0200000,199.2500000,118840
MTLRP,D,20120419,000000,199.0000000,200.5000000,198.5000000,200.3900000,97970
MTLRP,D,20120420,000000,198.2100000,199.9700000,198.0000000,199.5000000,193140
MTLRP,D,20120423,000000,198.5000000,199.0000000,197.7100000,198.0000000,168610
MTLRP,D,20120424,000000,199.5000000,199.5000000,196.6000000,196.6000000,76760
MTLRP,D,20120425,000000,197.9900000,199.4500000,195.9000000,197.0600000,99080
MTLRP,D,20120426,000000,197.4900000,197.6000000,195.8000000,197.0600000,20330
MTLRP,D,20120427,000000,197.0000000,198.0000000,196.0200000,197.2500000,270630
MTLRP,D,20120428,000000,197.0000000,197.1600000,196.4200000,197.1600000,3120
